enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
9834,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,<1,,,1,38
32476,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,326
21048,city_90,0.698,,No relevent experience,no_enrollment,Primary School,,<1,,,1,198
11363,city_73,0.754,,No relevent experience,Part time course,Masters,STEM,>20,,,1,74
31628,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,<1,,,>4,125
503,city_67,0.855,Male,Has relevent experience,Part time course,High School,,14,10000+,Pvt Ltd,4,53
4722,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,500-999,Pvt Ltd,never,106
1729,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,,2,28
21102,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,2,34
29549,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,1,113
3479,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,4,,Public Sector,1,15
28323,city_19,0.682,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,45
1566,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,5000-9999,Pvt Ltd,2,3
12504,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Funded Startup,2,83
11366,city_70,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,,2,124
4536,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,No Major,10,,,4,13
10880,city_16,0.91,,No relevent experience,no_enrollment,High School,,2,,,never,59
16681,city_138,0.836,Female,Has relevent experience,no_enrollment,Phd,Humanities,18,50-99,Pvt Ltd,>4,23
4916,city_128,0.527,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,92
16762,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,7
31357,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,50
2678,city_104,0.924,,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,,27
29512,city_104,0.924,Male,No relevent experience,Full time course,Graduate,Arts,5,,,never,55
31833,city_21,0.624,Male,No relevent experience,,Masters,STEM,8,50-99,NGO,1,18
1287,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,6
16645,city_16,0.91,Male,Has relevent experience,no_enrollment,,,7,,,3,7
7323,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Early Stage Startup,1,50
10985,city_28,0.939,,Has relevent experience,no_enrollment,High School,,6,50-99,Pvt Ltd,,2
7857,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,23
21333,city_90,0.698,,No relevent experience,no_enrollment,Graduate,STEM,9,,,4,31
1688,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,never,53
30467,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,24
3618,city_160,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,,1,90
6856,city_114,0.926,Other,No relevent experience,Full time course,High School,,8,5000-9999,,1,210
27435,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,15,,,4,198
18952,city_114,0.926,Male,No relevent experience,Full time course,Graduate,Business Degree,7,<10,Pvt Ltd,2,85
6156,city_71,0.884,Male,No relevent experience,Full time course,High School,,7,,,never,110
9643,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Funded Startup,1,40
7264,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,110
20123,city_73,0.754,,Has relevent experience,no_enrollment,Masters,STEM,4,,,1,33
3467,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,64
31155,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,44
